Team,Position,Name,Rank
GB,QB,Aaron Rodgers,1
ATL,QB,Matt Ryan,2
NO,QB,Drew Brees,3
IND,QB,Andrew Luck,4
WAS,QB,Kirk Cousins,5
LAC,QB,Philip Rivers,6
DAL,QB,Dak Prescott,7
DET,QB,Matthew Stafford,8
OAK,QB,Derek Carr,9
JAC,QB,Blake Bortles,10
NE,QB,Tom Brady,11
PIT,QB,Ben Roethlisberger,12
TB,QB,Jameis Winston,13
TEN,QB,Marcus Mariota,14
SEA,QB,Russell Wilson,15
BUF,QB,Tyrod Taylor,16
ARI,QB,Carson Palmer,17
CIN,QB,Andy Dalton,18
CAR,QB,Cam Newton,19
NYG,QB,Eli Manning,20
BAL,QB,Joe Flacco,21
MIN,QB,Sam Bradford,22
KC,QB,Alex Smith,23
PHI,QB,Carson Wentz,24
SF,QB,Colin Kaepernick,25
DEN,QB,Trevor Siemian,26
MIA,QB,Ryan Tannehill,27
HOU,QB,Brock Osweiler,28
NYJ,QB,Ryan Fitzpatrick,29
LAR,QB,Case Keenum,30
CHI,QB,Brian Hoyer,31
CLE,QB,Cody Kessler,32
CHI,QB,Matt Barkley,33
SF,QB,Blaine Gabbert,34
MIA,QB,Matt Moore,35
CLE,QB,Robert Griffin III,36
CLE,QB,Josh McCown,37
LAR,QB,Jared Goff,38
CHI,QB,Jay Cutler,39
NE,QB,Jimmy Garoppolo,40
PIT,QB,Landry Jones,41
NYJ,QB,Bryce Petty,42
KC,QB,Nick Foles,43
DEN,QB,Paxton Lynch,44
NE,QB,Jacoby Brissett,45
CAR,QB,Derek Anderson,46
HOU,QB,Tom Savage,47
TEN,QB,Matt Cassel,48
CLE,QB,Kevin Hogan,49
CLE,QB,Charlie Whitehurst,50
ARI,QB,Drew Stanton,51
TB,QB,Mike Glennon,52
IND,QB,Scott Tolzien,53
MIN,QB,Shaun Hill,54
OAK,QB,Connor Cook,55
NYJ,QB,Geno Smith,56
SEA,QB,Trevone Boykin,57
DAL,QB,Tony Romo,58
BUF,QB,E.J. Manuel,59
OAK,QB,Matt McGloin,60
BUF,QB,Cardale Jones,61
CAR,QB,Joe Webb,62
ATL,QB,Matt Schaub,63
JAC,QB,Chad Henne,64
CHI,QB,David Fales,65
PHI,QB,Chase Daniel,66
LAC,QB,Kellen Clemens,67
DAL,QB,Mark Sanchez,68
LAR,QB,Sean Mannion,69
BAL,QB,Ryan Mallett,70
GB,QB,Brett Hundley,71
ARI,RB,David Johnson,1
DAL,RB,Ezekiel Elliott,2
BUF,RB,LeSean McCoy,3
TEN,RB,DeMarco Murray,4
PIT,RB,Le'Veon Bell,5
NE,RB,LeGarrette Blount,6
ATL,RB,Devonta Freeman,7
LAC,RB,Melvin Gordon,8
CHI,RB,Jordan Howard,9
NO,RB,Mark Ingram,10
MIA,RB,Jay Ajayi,11
OAK,RB,Latavius Murray,12
IND,RB,Frank Gore,13
SF,RB,Carlos Hyde,14
CLE,RB,Isaiah Crowell,15
KC,RB,Spencer Ware,16
HOU,RB,Lamar Miller,17
ATL,RB,Tevin Coleman,18
CIN,RB,Jeremy Hill,19
LAR,RB,Todd Gurley,20
NYJ,RB,Matt Forte,21
CAR,RB,Jonathan Stewart,22
NYJ,RB,Bilal Powell,23
PHI,RB,Ryan Mathews,24
BAL,RB,Terrance West,25
BUF,RB,Mike Gillislee,26
WAS,RB,Rob Kelley,27
SEA,RB,Christine Michael,28
DEN,RB,Devontae Booker,29
DET,RB,Theo Riddick,30
PHI,RB,Darren Sproles,31
MIN,RB,Jerick McKinnon,32
NYG,RB,Rashad Jennings,33
NO,RB,Tim Hightower,34
NE,RB,James White,35
MIN,RB,Matt Asiata,36
WAS,RB,Chris Thompson,37
TEN,RB,Derrick Henry,38
DEN,RB,C.J. Anderson,39
CLE,RB,Duke Johnson,40
PIT,RB,DeAngelo Williams,41
OAK,RB,Jalen Richard,42
JAC,RB,T.J. Yeldon,43
CIN,RB,Giovani Bernard,44
IND,RB,Robert Turbin,45
SF,RB,Shaun Draughn,46
TB,RB,Jacquizz Rodgers,47
JAC,RB,Chris Ivory,48
DET,RB,Zach Zenner,49
TB,RB,Doug Martin,50
BAL,RB,Kenneth Dixon,51
WAS,RB,Matt Jones,52
MIA,RB,Damien Williams,53
OAK,RB,DeAndre Washington,54
SEA,RB,Thomas Rawls,55
KC,RB,Charcandrick West,56
NYG,RB,Paul Perkins,57
CIN,RB,Rex Burkhead,58
CHI,RB,Jeremy Langford,59
NO,RB,Travaris Cadet,60
HOU,RB,Alfred Blue,61
OAK,RB,Jamize Olawale,62
SEA,RB,C.J. Prosise,63
CAR,RB,Fozzy Whittaker,64
TB,RB,Charles Sims,65
PHI,RB,Wendell Smallwood,66
GB,RB,Eddie Lacy,67
BAL,RB,Justin Forsett,68
GB,RB,James Starks,69
NO,RB,John Kuhn,70
DET,RB,Dwayne Washington,71
GB,RB,Aaron Ripkowski,72
DAL,RB,Alfred Morris,73
NE,RB,Dion Lewis,74
BAL,RB,Kyle Juszczyk,75
JAC,RB,Corey Grant,76
ARI,RB,Kerwynn Williams,77
MIA,RB,Kenyan Drake,78
TB,RB,Peyton Barber,79
CAR,RB,Cameron Artis-Payne,80
NYG,RB,Shane Vereen,81
SF,RB,DuJuan Harris,82
PHI,RB,Kenjon Barner,83
NYG,RB,Orleans Darkwa,84
DEN,RB,Kapri Bibbs,85
SEA,RB,Alex Collins,86
DET,RB,Ameer Abdullah,87
LAC,RB,Danny Woodhead,88
CAR,RB,Mike Tolbert,89
MIN,RB,Ronnie Hillman,90
LAC,RB,Kenneth Farrow,91
NYG,RB,Bobby Rainey,92
DAL,RB,Lance Dunbar,93
BUF,RB,Reggie Bush,94
ATL,RB,Terron Ward,95
MIA,RB,MarQueis Gray,96
ARI,RB,Chris Johnson,97
HOU,RB,Jonathan Grimes,98
WAS,RB,Mack Brown,99
LAR,RB,Benny Cunningham,100
GB,WR,Jordy Nelson,1
TB,WR,Mike Evans,2
PIT,WR,Antonio Brown,3
NYG,WR,Odell Beckham Jr.,4
IND,WR,T.Y. Hilton,5
ATL,WR,Julio Jones,6
GB,WR,Davante Adams,7
NO,WR,Michael Thomas,8
NO,WR,Brandin Cooks,9
SEA,WR,Doug Baldwin,10
OAK,WR,Michael Crabtree,11
LAC,WR,Tyrell Williams,12
TEN,WR,Rishard Matthews,13
OAK,WR,Amari Cooper,14
DEN,WR,Demaryius Thomas,15
